PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Southside Occupational HS  - Annex Mechanical,CPS,Schools,7342 South Hoyne Av,Greater SW Ind Corr East,T-066,Greater SW Ind Corr East,T-066,Provide a mechanical system replacement.,1845000,1845000,1,01/25/2022,Approved,POINT (-87.67614 41.75998)
Corridor Manager Program 2025,DPD,Economic Development,,47th Ashland,T-117,47th Ashland,T-117,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,100000,100000,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
Skinner North - Roof/Masonry,CPS,Schools,640 West Scott St,Near North,T-030,Near North,T-030,Provide a full roof replacement and targeted masonry repairs.,4700000,4700000,1,01/19/2021,Approved,POINT (-87.64478 41.90503)
DSS New Garage for 18th/Clark Replacement,AIS,Municipal Facilities,1635 South Stewart Av,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Construction of new garage to replace 18th/Clark for use by DSS Street Operations Division.,5000000,5000000,1,02/11/2020,Approved,POINT (-87.63779 41.85836)
Woodlawn Major Amendment Study,DPD,"Plans, Studies, and Administration",,Woodlawn,T-065,Woodlawn,T-065,Redevelopment planning study for the TIF area for 12 year extension.,400000,400000,1,06/28/2022,Approved,POINT (-87.63245 41.88425)
Tilton - Mechanical,CPS,Schools,223 North Keeler Av,Madison/Austin,T-075,Madison/Austin,T-075,Provide a mechanical system replacement.,7800000,7800000,1,04/20/2021,Referred Back to Department,POINT (-87.73034 41.88424)
Fire Engine Company 96,AIS,Municipal Facilities,441 North Waller Av,Madison/Austin,T-075,Madison/Austin,T-075,HVAC replacement,210000,210000,1,04/20/2021,Referred Back to Department,POINT (-87.76768 41.88845)
Otis ES - MEP,CPS,Schools,525 North Armour St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Provide a mechanical system replacement.,6800000,6800000,1,04/20/2021,Approved,POINT (-87.66553 41.89166)
Humboldt Park Library,AIS,Municipal Facilities,1605 N Troy St,Humboldt Park,T-108,Humboldt Park,T-108,Exterior renovations; MEP upgrades; ADA,550000,550000,1,10/20/2020,Approved,POINT (-87.70531 41.91073)
TIFWorks,DPD,Economic Development,Various,Humboldt Park,T-108,Humboldt Park,T-108,Replenish capital to subsidize upcoming TIFWorks projects,100000,100000,1,10/20/2020,Approved,
Westside Traffic Signal: Ashland & 15th - New SignalVarious Left Turn Arrows and Signal Upgrades,CDOT,Public Infrastructure,,Chicago Central Park,T-115,Chicago Central Park,T-115,"Traffic signals are warranted, according to guidelines in the Manual on Uniform Traffic Control Devices.",62500,1300000,1,03/22/2022,Approved,POINT (-87.63245 41.88425)
TIFWorks,DPD,Economic Development,Various,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,"Funding to support the new TIFWorks Trainer Led Model (Model 4), which is meant to support micro and small business in a downturning economy.",100000,100000,1,08/18/2020,Approved,
4th Ward Yard,AIS,Municipal Facilities,4352 South Cottage Grove Av,43rd Cottage Grove,T-055,43rd Cottage Grove,T-055,Remove and replace condensing units.,200000,200000,1,06/16/2020,Approved,POINT (-87.60699 41.81532)
Greene ES - BAS,CPS,Schools,3525 South Honore St,Archer Western,T-163,Archer Western,T-163,"This school has an obsolete and failing Building Automation System (BAS) that controls the environmental mechanical systems In the building.  This project would be to upgrade, repair and re-certify the system from a controls standpoint.",150000,150000,1,06/22/2021,Approved,POINT (-87.6716 41.82969)
TIFWorks,DPD,Economic Development,Various,West Irving Park,T-083,West Irving Park,T-083,Replenish capital to subsidize upcoming TIFWorks projects.,75000,75000,1,12/03/2019,Approved,
Corridor Manager Program 2025,DPD,Economic Development,,Commercial Avenue,T-128,Commercial Avenue,T-128,One-year extension of the LISC-Chicago Technical Service Agreement for the Corridor Manager Program.,100000,100000,1,10/22/2024,Approved,POINT (-87.63245 41.88425)
Ornamental Street Light Pole Replacement,CDOT,Public Infrastructure,Various Addresses,Devon/Sheridan,T-134,Devon/Sheridan,T-134,Replace damaged ornamental street light poles.,60000,60000,1,04/07/2020,Approved,
Sidewalk Repairs,CDOT,Public Infrastructure,8220 South Stony Island Av,Stony Island Burnside,T-054,Stony Island Burnside,T-054,Replacement of damaged sidewalk and curb and gutter on the west side of Stony Island between 82nd St and 83rd St,170000,170000,1,09/03/2019,Approved,POINT (-87.5858 41.74483)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,35th Wallace,T-079,35th Wallace,T-079,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",1500000,1500000,1,08/06/2019,Approved,POINT (-87.63245 41.88425)
Near North Library,AIS,Municipal Facilities,310 West Division St,Near North,T-030,Near North,T-030,MEP upgrades;exterior renovations,400000,400000,1,01/19/2021,Approved,POINT (-87.63663 41.90379)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",245460,245460,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
Cather ES - Masonry/Roof/Envelope,CPS,Schools,2908 West Washington Bv,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Provide a full roof replacement and targeted masonry repairs.,3400000,3400000,1,11/22/2019,Under Further Review,POINT (-87.69884 41.88334)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Stevenson Brighton,T-149,Stevenson Brighton,T-149,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",113188,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Green Alley Construction: 4041 N. Milwaukee,CDOT,Public Infrastructure,4041 North Milwaukee Av,Irving Cicero,T-027,Irving Cicero,T-027,,300000,300000,1,04/07/2020,Approved,POINT (-87.74877 41.95428)
South Halsted Bridge Repair,CDOT,Public Infrastructure,2344-2500 South Halsted St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Begin Phase 1 and 2 design concurrently so that when federal funds are available bridge CIP can begin.,3500000,3500000,1,02/11/2020,Approved,POINT (-87.64647 41.84689)
Devon and Western Arterial Lighting,CDOT,Public Infrastructure,1848-2200 West Devon Av,Devon/Western,T-076,Devon/Western,T-076,"Installation of new arterial lighting on Devon from Leavitt to Ridge and Western from Devon to Granville in the 50th Ward.
Work to include survey, design, and installation of arterial roadway smart lighting systems.",2000000,2000000,1,04/26/2022,Approved,POINT (-87.68551 41.99797)
Hazardous Waste Recycling Center,AIS,Municipal Facilities,1140 North North Branch St,Goose Island,T-023,Goose Island,T-023,Lighting; interior renovations,105000,105000,1,03/23/2021,Approved,POINT (-87.65527 41.90223)
Small Business Improvement Fund,DPD,Economic Development,Various,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,Authorization of a 3-year allocation of TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund improvements to their buildings.,2500000,2500000,1,12/03/2019,Approved,
Pratt & Western Left Turn Arrows,CDOT,Public Infrastructure,2399-2401  West Pratt Av,Touhy Western,T-146,Touhy Western,T-146,Installation of Left Turn Arrows at the intersection of Pratt and Western.,100000,100000,1,07/23/2024,Approved,POINT (-87.6899 42.00504)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,51st Archer,T-097,51st Archer,T-097,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
Water and Sewer Improvements,DWM,Public Infrastructure,Various,Lasalle Central,T-147,Lasalle Central,T-147,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",142695,142695,1,04/07/2020,Referred Back to Department,
TIF Works Funding Requests 2024,DPD,Economic Development,,Roseland Michigan,T-113,Roseland Michigan,T-113,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,250000,250000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
Southwest Industrial Corridors TDL Uses Study,DPD,Economic Development,,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,"There is a pressing need to understand the impacts of freight and TDL related developments on infrastructure and communities.Â  The proposals seeks funds to conduct a study of existing and proposed freight/transportation, distribution, logistics uses.",53795,300000,1,08/18/2020,Approved,POINT (-87.63245 41.88425)
Central Green Line Station: Elevator Replacement,CTA,Transit Facilities,350 N Central Ave,Madison/Austin,T-075,Madison/Austin,T-075,This project supports the All Stations Accessibility Program (ASAP) through proactive replacement of existing elevators to ensure station accessibility.,1500000,1500000,1,09/15/2020,Approved,POINT (-87.7651 41.88713)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,63rd Pulaski,T-098,63rd Pulaski,T-098,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Ramova Theater-Additional Funding Request,DPD,Economic Development,3506-3520  South Halsted St,35th Halsted,T-001,35th Halsted,T-001,"Renovation of the Ramova Theater into a 38,761 square foot mixed use theater development including an 1,800-person capacity auditorium, 4,000 square feet of restaurant space,and 5,000 square feet of brewery space. The development will also include a 20,728 square foot parking lot across the street.",6500000,6500000,1,08/27/2024,Approved,POINT (-87.64609 41.83049)
Lincoln Ave Streetscape - Foster to Bryn Mawr,CDOT,Public Infrastructure,5200-5600 North Lincoln Av,Lincoln Ave,T-077,Lincoln Ave,T-077,The scope of improvements include new sidewalk; ADA ramps; curb and gutter; roadway geometric changes to increase sidewalk width; pedestrian safety improvements; full width street resurfacing and base repair as required.,8265000,8265000,1,01/21/2020,Under Further Review,POINT (-87.69607 41.9837)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Wilson Yard,T-110,Wilson Yard,T-110,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",2400000,2400000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
Roof Program - Austin Satellite Senior Center,AIS,Municipal Facilities,5071 West Congress Pw,Harrison Central,T-144,Harrison Central,T-144,Remove and replace roofing.,520000,520000,1,08/23/2022,Approved,POINT (-87.75235 41.87398)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Pulaski Corridor,T-069,Pulaski Corridor,T-069,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",35617,35617,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
Donovan Park Expansion,Park District,Parks and Open Spaces,3620 S Lituanica Av,35th Halsted,T-001,35th Halsted,T-001,"Upon completion of the acquisition, the new property will be remediated and added to the Park Districtâ€™s Donovan Park.",850000,850000,1,10/20/2020,Approved,POINT (-87.64766 41.82814)
Kedzie Neighborhood Connector Bikeway,CDOT,Public Infrastructure,1-1000  North Kedzie Av,Ogden Pulaski,T-161,Ogden Pulaski,T-161,Installation of the Kedzie Neighborhood Connector Bikeway between Augusta and 26th St,266000,708000,0.38,04/25/2023,Approved,
Friend Health Medical Campus,DPD,Economic Development,6250 S Cottage Grove Ave,Woodlawn,T-065,Woodlawn,T-065,"Development of a 128,000 square foot medical campus in two phases;Â 
(I) redeveloping a 45,000Â square foot health clinic and medical offices 
(II) Construction of an 83,000 square foot medical annex building",8000000,35587437,0.22,07/21/2020,Approved,POINT (-87.60655 41.78087)
Polling Place ADA Upgrade - Vodak/ Eastside Library,AIS,Municipal Facilities,3710 East 106th St,Ewing Avenue,T-169,Ewing Avenue,T-169,DOJ ADA: Install automatic operator.,25000,25000,1,07/27/2021,Approved,POINT (-87.53348 41.703)
Holden ES - Roof/Masonry,CPS,Schools,1104 West 31st St,Archer Western,T-163,35th Halsted,T-001,Provide a full roof replacement and targeted masonry repairs at the main and addition buildings.,3100000,3100000,1,06/22/2021,Approved,POINT (-87.65413 41.83839)
Lake Street Bridge - Additional Funding,CDOT,Public Infrastructure,350-380 West Lake St,LaSalle Central,T-147,LaSalle Central,T-147,Additional funding request for the rehabilitation of the Lake Street Bascule Bridge.,36000000,36000000,1,04/25/2023,Approved,POINT (-87.63912 41.88572)
Dett Gym Expansion + Building Improvements,CPS,Schools,2131 West Monroe St,Central West,T-086,Central West,T-086,"1.  Construction of a new linked 17,750 SF gym annex
2. Building improvements that will include: accessibility improvements including a new elevator and restroom upgrades; electrical upgrades; mechanical & plumbing upgrade and replace obselete PA system",37500000,37500000,1,04/26/2022,Approved,POINT (-87.68058 41.87994)
Police Academy,AIS,Municipal Facilities,1300 West Jackson Bv,Central West,T-086,Central West,T-086,Envelope repairs; roof,500000,500000,1,02/23/2021,Approved,POINT (-87.65979 41.87842)
Damen Avenue Resurfacing (Wilson to Bowmanville),CDOT,Public Infrastructure,4600-5470  North Damen Av,Western Av North,T-085,Western Av North,T-085,Arterial resurfacing with ADA ramp and pedestrian safety improvements.,1750000,3000000,0.58,09/26/2023,Approved,POINT (-87.6791 41.96526)
CPS ADA Polling Location Upgrades - Southwest Region,CPS,Schools,Multiple Addresses,Stevenson Brighton,T-149,Stevenson Brighton,T-149,"Typical remediation scope includes, but is not limited to: remove and replace concrete or pavement, install new ADA compliant ramp, remove and replace door thresholds, adjust or replace door closures, etc.",15000,24000,1,06/22/2021,Approved,
"Invest South/West Sidewalk, Curb and Gutter Repairs",CDOT,Public Infrastructure,Various,Austin Commercial,T-156,Austin Commercial,T-156,Repair of damaged sidewalk and curb and gutter in all 12 Invest South West main street corridors.,729231,729231,1,04/07/2020,Approved,
SBIF Funding Recommendation,DPD,Economic Development,,Humboldt Park,T-108,Humboldt Park,T-108,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,500000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
Owens Park,Park District,Parks and Open Spaces,8800 S Clyde Ave,Stony Island Burnside,T-054,Stony Island Burnside,T-054,Playground and other park site improvements.,300000,300000,1,11/17/2020,Approved,POINT (-87.57403 41.73499)
LISC Marketing Agreement,DPD,"Plans, Studies, and Administration",,79th Street Corridor,T-056,79th Street Corridor,T-056,Amend an original request of $4.515 million to include an additional $1.485 millon to match the $6 million request made to city council.  Project now involves LISC Chicago entering into a marketing aggreement with the city.,123750,6000000,0.25,04/20/2021,Approved,POINT (-87.63245 41.88425)
